,Type,ProductBrand,Color,Size,LookBook,Gender,Fabric,ImageLink,Season,DiscountedPrice,Discount,ProductLink
0,nike men's relaxed fit t-shirt,nike,gold,S,casual,men,cotton,https://m.media-amazon.com/images/I/51UAabRZV2L._SX679_.jpg,,"2,489",47%,https://www.amazon.in/Nike-Relaxed-T-Shirt-DJ7675-715_Club-Obsidian/dp/B0B77LTF2R/ref=sr_1_3?crid=1KNPJPAKVVIUY&dib=eyJ2IjoiMSJ9.ZEDakA2vgGu3w2_raeJtrmD5-9H3A9_zSkTB1HpJxYoC7487Y0k5JGfSx9UhPKhDsNQ-T16gaDPEqcZ9H4ePBTuij__5eHB2gn5NgpeuWP_yQ1RBN9Pn-MTTsT6Q-R226kf7gxlOVr4fEflQKwnCC05STthzWasAh4_AxCPYCDK_G3uDus28DEpf-VADAwcgIDMgkE9SdfuziB8IP6MCguIEVRy87GyYCzOUAomO0IvG1ztGFObudAx8YGCf0ZR2l_ftoVsKbQYgqDP4GnbSjElvUzNFsnS1J8jRRWQzDFg.Lh6nHA_V9Qcoq18ikVGkHJBwj5II2DfJ8EKeHzEypm4&dib_tag=se&keywords=nike%2Bt%2Bshirts%2Bfor%2Bmen&qid=1713613143&s=apparel&sprefix=nike%2Bt%2Bshirts%2Bfor%2Bmen%2Capparel%2C1143&sr=1-3&th=1&psc=1
1,puma men's regular fit t-shirt,puma,black white,S,sports,men,cotton,https://m.media-amazon.com/images/I/513rGsnZboL._SX679_.jpg,,"1,439",20%,https://www.amazon.in/Puma-Printed-Regular-T-Shirt-658705_Black-White/dp/B0C74JS7SJ/ref=sr_1_27?dib=eyJ2IjoiMSJ9.hQzGDAjde8XJ5c-bdrSDYYMx9R60zBFUoOWHRswT0CQy-S7g2-vfJ14jzVGtEIojS-8zkIUhxHghQAdJiIyL-Qeo86fe7pkyB-isf8OL_nozcUlkpS6L3HO1sO9pRHqsoY9LZvWWBWyyZQlX2EzWq_QIMKdgxaCe6KgVEpEOJXqNPWBR0xz2QP7ckKr47gioPf9xQEB83vNh93NvqhqTKZ6AvuM8uVQYeyheDSIuhZuxc9iBS8QSbTK-PenTOxK39zUPp3Nx-5SynP_XdxRtGObilfWJsyFwed0MYwlnvjg.xQqv_35FD5p3buD6B_1Hy94FJXdwEjEQHdPFypYL3gI&dib_tag=se&keywords=puma&qid=1713617052&s=apparel&sr=1-27&th=1&psc=1
2,nike women shirt,nike,black,M,sports,women,polyester,https://m.media-amazon.com/images/I/41h6g+dkZdL._SX679_.jpg,,809,55%,https://www.amazon.in/Nike-womens-Slim-Shirt-DQ3312-010_Black/dp/B0BJ2YFBCT/ref=sr_1_3?crid=3QE92DXYPSYJA&dib=eyJ2IjoiMSJ9.PGR_Mk0gKElvd8ucuIh9kocegbmvESNb33O0eftAmnwk_42ERoyqX9o7fMhhhYw88-kzCo2IqcSIAFeB3rGTUF04Wi2EPLqS0PhSPjlldcbrTzWCH7jCenv36ww8aCMHpIf20p77ANmsH8goXdHhQLDxbPXpWfPhWzN236mHWzd5V88WoefrbX3m1QgwHznQhfXlx3oSrGiO3MKLDH5rZVOrafYE5t46_JoS4NrbFXc0unsBao_-WkkGQTT3tX8t1bIQZKp3reh4lNltNdM4uojV5XmKFBt4hQ5QK777HuM.jg0XDBH8G1Dp6IUaCXwi22gyUwWVpWIvhgRqrllSvo8&dib_tag=se&keywords=women+sports+wear+nike&qid=1713617598&sprefix=women+sports+wear+nike%2Caps%2C240&sr=8-3
3,puma men sweatshirt,puma,gray,XS,regular,men,cotton,https://m.media-amazon.com/images/I/61WRIRaAJpL._SX679_.jpg,,"1,499",50%,https://www.amazon.in/Puma-Cotton-Sweatshirt-84979103_Medium-Heather_L/dp/B0BFXBYVTD/ref=sr_1_7?crid=2J5EG0WZ72AFK&dib=eyJ2IjoiMSJ9.7aPBKZm2r8CW2gLBwt9kOBgCI-3kBW5Saz1GhOP-E35RNDHbvDDFNapcK22D-n3tLf3cjbC1WqiR421M4dWTShUI6vNmmDeAUbMTNoTWxCHtlz7u6Nn_oAzOSV6kniHJJ6OQkzOME30AORmoSJfWxNuMp2I_qFb5b4WPwka5U0QnZQA5i9PgqRpXW498d_3GFizbe9GZnTEDBwNNb-YT76MQqvue06hlHKmk6GlnaBt7LNecCnPTDr0Cve-EduRMdTnov2188lFvSFtsO-rS5_6AXPwMVSJCsjyNFk9q2dw.e88CxwNWjK9yZuk-df9A4t5keiAw4N3wtuIouoyy0sk&dib_tag=se&keywords=men+sweatshirt+puma&qid=1713618090&sprefix=man+swatshirt+puma%2Caps%2C228&sr=8-7
4,nike men casual shorts,nike,blue black,XS,casual,men,polyester,https://m.media-amazon.com/images/I/81NDwU5zk2L._SX569_.jpg,,"1,349",46%,https://www.amazon.in/Nike-Boxer-Shorts-DQ4813-499_Blue-Black_M/dp/B0BLZ8T9HF/ref=sr_1_2?crid=PEZQUFETA65X&dib=eyJ2IjoiMSJ9.cuoXgjjvFxCyEDsvvX_5nPbderzevZ3sjTJSarBndXqBLIVLT9ghlKK-imcvVM0W_kulIzOFaSoZgzBt4-vBWL8wl0Pg_5s4HdfquQgqmtdAuz5rdq9f6L34LFsubAk_uh70JgK6ja7tv0yKgXz0x8KTixlYCHXr5H7lyrhWsR5WruDSMGFF-j0yFU2A54rZZd6ffWroyUhnubksEm5cDVxFXgP5uSxKgZE3U0seUeHRajskCQZZKSCNPH0H4LQ8tHYquXynwGG6wu7w79KZVyp4G9hLtsa9K-s0ktnz9B4.ZYKqTdpIZNlipfHasAmadOjdhBW_LdlJHMelwduMyQg&dib_tag=se&keywords=nike+clothes+for+men&qid=1713618352&sprefix=nike+clothes+for+men%2Caps%2C235&sr=8-2
5,adidas men's regular track pants,adidas,black white,XS,birthday regular,men,cotton,https://m.media-amazon.com/images/I/51IRANJPcGL._SX679_.jpg,,"1,799",40%,https://www.amazon.in/Adidas-Track-Pants-DY1581_Black-White_L/dp/B07VP4LWJX/ref=sr_1_2?crid=VPH8BDC0ZJZG&dib=eyJ2IjoiMSJ9.FR79XajMqz8wWhDapwc-VBEsyWd0Z9_-NwppcI1LlYSnEQ5cX-s839h1LukoyBCE7ztegzuqS3fmNvTZgls2M9nMZc2XhknBD1tk3qnZSLdeskmdpvjmyY88X9wNV_ggQJOf5HHqqN2mGGdoxALI0BAKyfwXrNMByVwsqCLHKfg906YjJTH9WvJRIYWrbPcYfe7gNZL3UUqh0YrFXGbOJpq4pQmi5zvjh5UAJoHlVuawwlaT6pMbRNaue4lcgPCHWKbSGrqPwy7EdNyC96nkP-lU0sCUYjQs0u-6O84aOOk.3uJAt7-MVASEJRE29aGFB_z2q__J1XzcVCvTOw4SSiA&dib_tag=se&keywords=adidas+clothes+for+men+trouser&qid=1713618528&sprefix=adidas+clothes+for+men+trouse%2Caps%2C214&sr=8-2
6,u.s. polo assn. men's regular fit t-shirt,u.s. polo,maroon aqua olive red navy,S,regular,men,cotton,https://m.media-amazon.com/images/I/81QXIeMTP2L._SX569_.jpg,,"1,297",41%,https://www.amazon.in/U-S-POLO-ASSN-Regular-USTSHS1614_Maroon_L/dp/B0CBFTR5WR/ref=sr_1_14?crid=1ROVHDTT26VQ0&dib=eyJ2IjoiMSJ9.qbrul4DzRIUGDF-cqzjptRyt1dxWjU6nvUzjoBB0UQo5a6D1yKyUl4q2UkIbwG_p9lPmQBchKtNCgmYvYCWxlwZbeNSia_410YXTbySAzoo_LwwZeaU5_a2UpawBiEZyFrqaftgR_MzqbO9g1wgxwGSmCxE1ZChh4HcbsZpSIUaffWVo78egCMTUxslGavxiSdH2rtGCJCvA5Tj8c_0NkY3cew0Se0XPUM2VE0wHEqGf5qVormhdjmhSwGSf66tO_4N4eIJFJ1rEe68TV-S3UQ-vlY4FVg2wW7VIpc1VYHw.0IVv3bHB9gH5S02P6C3S-ry4Uqgsc6MYn4ebllvsz9o&dib_tag=se&keywords=us+polo+t+shirts+for+men&qid=1713618864&sprefix=us+polo+%2Caps%2C251&sr=8-14
7,allen solly men's regular fit polo,allen solly,red black white blue navy cyan green yellow,S,regular,men,cotton polyester,https://m.media-amazon.com/images/I/71eUwDk8z+L._SY879_.jpg,,699,36%,https://www.amazon.in/Allen-Solly-Regular-AMKP317G04249_Jet-Black_X-Large/dp/B06Y2CH63N/ref=sr_1_11?crid=3QUOIS3LZX4ZG&dib=eyJ2IjoiMSJ9.qbrul4DzRIUGDF-cqzjptRyt1dxWjU6nvUzjoBB0UQo5a6D1yKyUl4q2UkIbwG_p9lPmQBchKtNCgmYvYCWxlwZbeNSia_410YXTbySAzoo_LwwZeaU5_a2UpawBiEZyFrqaftgR_MzqbO9g1wgxwGSmCxE1ZChh4HcbsZpSIUaffWVo78egCMTUxslGavxiSdH2rtGCJCvA5Tj8c_0NkY3cew0Se0XPUM2VE0wHEqGf5qVormhdjmhSwGSf66tO_4N4eIJFJ1rEe68TV-S3UQ-vlY4FVg2wW7VIpc1VYHw.0IVv3bHB9gH5S02P6C3S-ry4Uqgsc6MYn4ebllvsz9o&dib_tag=se&keywords=us+polo+t+shirts+for+men&qid=1713619355&sprefix=%2Caps%2C176&sr=8-11
8,cvc shining shirt | formal shirt | clubwear shirt,cvc,black white red pink,S,formal clubwear partywear,men,silk,https://m.media-amazon.com/images/I/61kxSJN0F6L._SX679_.jpg,,599,80%,https://m.media-amazon.com/images/I/61kxSJN0F6L._SX679_.jpg
9,arrow men's solid white full sleeve slim fit cotton formal shirt,arrow,white,S,formal,men,cotton,https://m.media-amazon.com/images/I/712CQewF59L._SX569_.jpg,,"1,139",43%,https://www.amazon.in/Arrow-Solid-Shirt-Formal-ShirtG25_White/dp/B0C1SRQ3W1/ref=sr_1_7?crid=2M8632X47US1B&dib=eyJ2IjoiMSJ9.oawhfv4RGrP7PjQkdWswJZPX7ZKTtfit25ps3KTGwSA6eTBcEyUx1dFj_qwzJYoXEv-BHKjXey-x7SHO4gX_9DkMNL4Cp9zePwC04mV8AqujFYsLZoIeLaV4O_rjzozIR9ooEjeAbhLPqsACW5PY-u1AD7S7VhwPvZXUvkdcsKqVnVrpL-uJK8OGCtA6azMSWxxtdHnrq2ta8Cqb1yzqZ380Nyw5kZx61hDRaSy9CmFffIH4wBvxsr-J2Ei2vpafuMmqjUW29yZP-D29MPnHs_kIaK5woHD_RQ1-55cQNkM.JekS-XvtaANjgngAthHtLIFP324aYVdtje953x9WSg4&dib_tag=se&keywords=formal+shirts+for+men&qid=1713619826&s=apparel&sprefix=formal%2Capparel%2C209&sr=1-7
